"State","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","cumulative.total"
"Acre",6,2,9,0,4,4,7,7,4,3,2,6,4,3,3,6,2,6,6,4,4,7,7,4,8,3,7,5,7,7,5,8,6,5,8,12,9,8,9,11,13,8,14,20,11,6,9,7,4,0,3,0,323
"Alagoas",15,9,4,4,5,4,6,2,5,6,6,3,5,9,5,10,3,7,5,13,11,9,12,23,8,14,7,13,4,15,9,14,16,11,12,9,16,6,8,7,5,8,8,5,3,7,4,3,3,8,5,2,411
"Amapa",2,1,4,6,2,4,2,2,4,4,1,1,2,1,0,1,3,2,2,3,1,0,2,0,3,0,0,3,5,1,1,6,1,3,3,1,0,2,2,2,7,3,6,4,3,4,4,0,1,0,0,0,115
"Amazonas",5,8,9,10,5,4,8,15,16,17,18,16,11,23,26,22,8,10,23,14,18,11,14,12,6,12,9,17,16,10,10,7,3,10,5,5,5,6,0,4,0,3,3,2,1,7,3,1,3,4,0,0,475
"Bahia",29,17,47,30,32,36,40,51,59,67,53,44,26,34,31,38,26,47,43,35,34,37,33,37,18,12,28,22,25,16,15,30,39,36,21,20,25,13,24,17,29,29,12,21,17,11,13,12,7,10,4,1,1453
"Ceara",9,7,10,9,18,22,22,33,19,18,15,11,16,24,19,25,14,11,14,8,15,6,12,27,22,9,22,21,21,14,15,4,8,4,4,8,6,8,4,9,5,2,3,6,4,1,1,3,1,0,0,0,589
"Distrito Federal",2,6,6,4,5,1,0,3,3,4,1,6,1,2,2,3,4,2,8,3,3,2,2,1,5,3,1,2,4,0,2,1,3,0,3,5,3,0,1,2,3,2,0,2,6,1,4,1,1,3,3,0,135
"Espirito Santo",5,10,11,13,5,7,16,7,9,14,18,16,14,21,14,17,11,13,15,20,19,13,23,12,12,19,12,10,14,9,14,10,8,7,4,8,10,12,13,14,11,7,5,3,3,8,4,5,6,3,4,0,558
"Goias",53,63,64,52,103,83,70,83,91,91,82,71,67,81,62,60,51,66,74,70,77,54,36,41,27,33,20,25,16,13,13,13,18,12,8,11,5,6,8,2,12,13,9,11,3,11,10,18,16,9,3,0,199
"Maranhao",6,8,5,1,7,5,5,1,2,5,3,1,3,8,6,7,4,4,11,3,5,1,4,11,1,2,3,7,1,2,3,2,3,4,2,3,7,1,0,6,3,5,5,4,3,1,2,5,1,2,1,0,195
"Mato Grosso",37,42,60,37,48,49,52,44,59,49,35,52,30,60,69,48,35,28,34,20,13,17,11,9,11,9,8,9,7,4,4,8,4,4,2,4,3,3,1,5,4,2,2,5,1,1,1,1,5,4,0,0,105
"Mato Grosso do Sul",5,13,8,6,12,9,13,7,10,6,7,10,4,11,7,13,7,9,2,7,3,2,3,5,5,4,4,2,7,5,3,4,4,4,2,7,7,4,4,5,5,2,3,7,5,8,9,4,3,1,2,0,299
"Minas Gerais",12,25,24,19,19,18,26,21,27,39,25,38,37,44,35,51,33,32,28,32,21,22,18,17,9,18,21,22,16,6,13,12,11,14,12,9,11,7,10,9,6,13,7,11,14,12,9,12,9,7,2,1,966
"Para",11,9,24,15,18,17,17,31,25,25,22,18,14,27,34,20,24,20,23,14,16,19,10,11,12,2,7,4,11,9,14,15,17,9,7,7,10,13,11,14,14,14,6,11,6,12,18,10,10,8,2,0,737
"Paraiba",12,4,3,4,5,5,12,4,12,2,12,10,3,19,21,16,20,31,21,26,33,35,27,37,27,26,24,21,13,14,7,13,3,11,7,6,8,3,8,5,4,5,6,12,12,6,7,5,2,5,5,1,640
"Parana",5,8,9,8,9,6,2,8,4,9,7,7,3,4,0,5,3,5,2,1,0,4,3,0,4,1,4,0,5,5,2,1,1,5,3,3,4,2,3,2,1,4,7,1,3,2,2,5,2,2,0,0,186
"Pernambuco",9,2,4,6,3,1,8,5,6,6,10,11,13,17,11,14,14,12,6,19,19,15,14,21,16,7,23,12,26,23,19,10,18,24,13,11,14,7,7,8,10,12,5,14,15,12,9,22,6,2,0,0,591
"Piaui",3,2,2,1,1,0,2,0,3,6,6,5,6,1,2,2,2,0,6,1,0,3,3,0,1,2,3,3,2,0,3,2,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,79
"Rio Grande do Norte",17,23,24,15,11,9,14,14,7,19,18,21,14,27,15,21,18,19,18,15,10,21,23,24,25,31,38,41,105,98,46,47,36,28,22,8,15,7,17,12,13,19,11,14,5,10,7,8,3,3,0,0,1086
"Rio Grande do Sul",2,5,13,4,4,5,3,3,5,2,3,5,3,3,0,2,4,4,4,2,2,2,2,1,1,2,0,0,3,3,2,2,3,3,3,1,1,0,2,3,3,1,5,1,1,1,0,4,0,1,0,0,129
"Rio de Janeiro",57,88,77,100,126,89,82,112,124,165,268,343,238,185,198,145,122,122,110,108,77,68,52,39,53,59,81,43,37,39,49,31,33,51,26,24,25,23,27,29,21,16,17,27,15,22,26,15,14,7,2,0,3907
