"state","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","Total"
"Acre",11,6,10,19,12,18,16,8,8,9,15,12,6,12,13,6,8,6,6,4,0,5,4,2,0,6,5,1,1,0,1,1,3,0,0,2,0,4,0,4,2,6,5,4,5,5,0,8,6,0,2,2,289
"Alagoas",8,4,8,5,4,11,7,7,4,6,6,5,9,7,9,10,8,4,7,5,4,1,6,5,6,8,6,11,9,5,6,8,7,12,5,6,5,3,8,12,6,8,6,8,9,8,5,9,10,7,2,4,349
"Amapa",4,5,4,4,1,1,0,0,6,8,5,3,1,5,1,2,3,3,1,7,3,0,0,1,3,1,2,0,0,3,2,2,0,1,2,0,1,3,0,5,3,0,0,1,0,0,0,1,1,1,4,0,104
"Amazonas",20,32,31,34,31,37,25,28,24,30,43,37,39,19,18,11,11,22,21,21,10,12,11,6,8,4,11,6,8,4,4,7,6,8,1,1,0,1,2,1,5,4,3,4,5,4,3,4,3,11,1,2,694
"Bahia",131,154,108,107,94,103,83,55,72,89,78,51,74,74,86,64,52,68,71,76,106,110,84,79,65,69,49,63,51,48,39,35,37,35,31,17,23,23,17,19,24,15,17,28,18,28,19,16,18,24,16,12,2925
"Ceara",35,46,50,49,58,54,53,59,86,118,160,222,290,256,262,272,235,239,189,148,97,77,67,47,50,46,31,30,15,17,16,16,7,10,8,3,7,6,9,6,5,4,4,4,6,7,3,5,6,1,2,1,3494
"Distrito Federal",4,5,9,5,5,4,3,2,1,2,7,7,4,7,5,7,7,8,8,10,10,13,10,3,10,4,7,1,1,2,0,4,2,0,2,0,2,3,3,9,2,3,1,3,5,7,1,1,1,0,1,1,222
"Espirito Santo",24,17,11,9,12,15,20,11,22,34,35,39,24,26,27,29,15,9,4,8,10,9,8,5,7,1,3,10,4,0,6,4,4,6,5,7,3,4,4,3,3,4,7,5,1,3,5,4,5,8,5,3,547
"Goias",109,129,130,147,160,180,162,144,157,162,180,176,116,145,143,170,234,232,191,195,223,248,171,122,96,95,54,54,43,37,24,29,26,14,24,5,13,27,16,20,26,21,13,21,23,30,38,33,35,24,16,11,4894
"Maranhao",7,8,24,33,29,26,30,33,20,28,34,26,18,19,17,22,17,19,14,12,19,14,8,17,18,9,6,8,9,8,6,11,6,10,8,3,5,3,1,3,3,3,3,2,5,0,2,1,3,0,1,1,632
"Mato Grosso",61,41,60,60,79,104,109,113,137,163,164,152,125,132,128,92,88,85,65,65,54,31,30,27,33,25,18,21,15,21,23,14,7,11,11,17,10,6,9,9,5,12,6,7,17,9,8,15,15,15,22,22,2568
"Mato Grosso do Sul",9,8,7,4,16,7,8,1,14,6,9,14,12,13,9,6,3,8,11,8,7,9,1,10,6,6,1,6,8,5,9,4,8,5,6,6,8,10,10,7,5,6,9,11,7,7,13,5,8,10,5,1,392
"Minas Gerais",53,47,49,50,62,59,90,58,69,114,89,82,83,72,46,52,49,53,57,55,52,29,31,47,19,18,15,11,13,12,8,10,12,14,13,10,18,21,13,12,8,18,12,18,13,13,17,13,13,13,5,6,1816
"Para",61,88,116,169,163,85,108,45,36,46,40,37,32,25,23,16,11,19,18,16,13,10,16,8,16,11,8,14,13,9,8,9,5,9,4,13,2,7,6,12,7,7,3,5,9,9,5,6,2,6,4,1,1411
"Paraiba",5,3,4,2,6,6,6,8,12,7,12,5,14,7,3,2,1,2,0,6,6,3,5,14,7,3,7,4,1,6,5,7,7,4,4,1,6,5,6,4,8,12,6,7,9,6,2,4,2,4,0,1,277
"Parana",16,27,30,26,18,14,25,15,19,16,8,18,14,17,14,9,7,9,5,4,3,4,8,1,2,3,2,8,8,4,4,5,3,8,6,6,7,8,7,6,5,5,4,8,6,4,9,7,1,4,4,2,473
"Pernambuco",17,7,10,13,8,16,12,8,12,8,9,9,5,5,6,11,7,12,14,4,2,8,9,3,6,4,3,5,6,3,5,5,7,5,6,4,2,1,1,1,2,2,4,3,3,2,1,1,3,0,1,0,301
"Piaui",2,1,1,3,3,2,0,4,4,1,7,4,23,18,11,18,8,39,32,38,55,45,38,27,25,22,11,15,4,9,10,6,7,3,2,1,0,1,1,1,1,3,1,3,4,1,0,0,2,1,0,0,518
"Rio de Janeiro",103,100,121,136,124,157,125,75,108,108,111,122,133,117,87,80,54,72,97,63,71,63,72,32,30,31,21,22,12,16,18,16,18,8,9,14,21,17,17,24,25,11,16,22,16,27,20,20,28,26,27,7,2870
