"state","cases.per.ew","total.cases"
"Acre","323","7538"
"Alagoas","411","10925"
"Amapa","115","3114"
"Amazonas","475","15596"
"Bahia","1453","46273"
"Ceara","589","19772"
"Distrito Federal","135","3981"
"Espirito Santo","558","16730"
"Goias","1990","73668"
"Maranhao","195","5839"
"Mato Grosso","1050","41816"
"Mato Grosso do Sul","299","9329"
"Minas Gerais","966","31561"
"Para","737","22868"
"Paraiba","640","18586"
"Parana","186","6028"
"Pernambuco","591","15127"
"Piaui","79","2794"
"Rio de Janeiro","3907","141172"
"Rio Grande do Norte","1086","30356"
"Rio Grande do Sul","129","4278"
"Rondonia","244","8002"
"Roraima","141","3622"
"Santa Catarina","84","2775"
"Sao Paulo","1337","40707"
"Sergipe","22","662"
"Tocantins","1265","28490"
